ëŒã«é“,èÍïó,ã«êî,ñ{èÍ,ãüëı,é©ïó,éùÇøì_,ÉhÉâ,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,ã«é˚éx,é˚éxîÕàÕ,ÉcÉÇ,ÉçÉì,ó¨ã«,ÉäÅ[É`,ÉäÅ[É`èÑñ⁄,ïõòI,É_É},ÉAÉKÉäèÑñ⁄,îN,åé,ì˙,ééçá
ëÍëÚ,ìÏ,3,0,0,ñk,35500,1,1,3,17,21,22,24,26,26,27,32,33,34,36,-1000,-1,,,,1,7,,,,2020,10,8,1
ëOå¥,ìÏ,3,0,0,ìå,-7100,1,4,6,6,8,13,17,21,21,27,31,33,33,37,0,-1,,,,,,,,,2020,10,8,1
âÄìc,ìÏ,3,0,0,ìÏ,13300,1,2,6,8,16,18,22,25,26,28,28,29,29,35,2000,1,,1,,,,,1,10,2020,10,8,1
äùêX,ìÏ,4,0,0,ìÏ,57300,36,1,2,6,7,9,16,18,21,25,26,32,33,34,-1000,-1,,,1,,,,,,2020,10,8,1
ëÍëÚ,ìÏ,4,0,0,êº,34500,36,2,7,14,14,19,21,24,25,26,31,31,34,35,-1000,-1,,,1,,,,,,2020,10,8,1
ëOå¥,ìÏ,4,0,0,ñk,-7100,36,3,4,5,7,8,9,12,13,16,17,17,28,35,-1000,-1,,,1,,,,,,2020,10,8,1
âÄìc,ìÏ,4,0,0,ìå,15300,36,1,5,6,7,8,12,13,21,22,24,25,26,34,2000,1,,,1,1,7,,,,2020,10,8,1
äùêX,ìÏ,4,1,1,ìÏ,56300,32,3,4,13,15,19,28,31,32,34,34,35,35,37,-2700,-1,1,,,,,,,,2020,10,8,1
ëÍëÚ,ìÏ,4,1,1,êº,33500,32,1,2,3,12,14,15,16,18,24,27,34,35,36,-2700,-1,1,,,,,,,,2020,10,8,1
ëOå¥,ìÏ,4,1,1,ñk,-8100,32,2,3,4,6,7,8,11,14,21,27,28,35,36,-2700,-1,1,,,,,,,,2020,10,8,1
âÄìc,ìÏ,4,1,1,ìå,17300,32,4,5,9,12,14,17,18,19,21,25,30,26,33,8100,2,1,,,1,11,,,17,2020,10,8,1
äùêX,ìÏ,4,2,0,ìÏ,53600,19,2,10,8,9,11,21,22,23,26,27,29,33,34,-1600,-1,,1,,,,,,,2020,10,8,1
ëÍëÚ,ìÏ,4,2,0,êº,30800,19,1,3,4,5,12,13,18,28,29,33,35,35,36,1600,1,,1,,,,1,,7,2020,10,8,1
ëOå¥,ìÏ,4,2,0,ñk,-10800,19,2,4,8,12,20,16,17,18,19,25,26,31,32,0,-1,,,,,,,,,2020,10,8,1
âÄìc,ìÏ,4,2,0,ìå,26400,19,5,9,11,13,14,15,18,22,32,33,35,37,37,0,-1,,,,,,,,,2020,10,8,1
ä€éR,ìå,1,0,0,ìå,25000,29,2,3,8,14,17,21,22,23,26,28,29,34,36,2000,1,,,1,1,14,,,,2020,10,8,2
ç≤ÅXñÿ,ìå,1,0,0,ìÏ,25000,29,1,3,6,7,13,15,20,16,16,21,24,31,35,-1000,-1,,,1,,,,,,2020,10,8,2
ìÒäKì∞,ìå,1,0,0,êº,25000,29,3,6,7,15,15,16,18,19,21,28,32,34,35,-1000,-1,,,1,,,,,,2020,10,8,2
ãõíJ,ìå,1,0,0,ñk,25000,29,11,14,17,17,19,26,27,28,31,32,33,34,36,-1000,-1,,,1,,,,,,2020,10,8,2
ä€éR,ìå,1,1,1,ìå,27000,37,1,5,5,14,15,16,19,21,24,26,32,35,36,1500,1,,,1,,,1,,,2020,10,8,2
ç≤ÅXñÿ,ìå,1,1,1,ìÏ,24000,37,11,13,14,16,17,19,22,24,31,34,35,36,37,500,1,,,1,1,17,,,,2020,10,8,2
ìÒäKì∞,ìå,1,1,1,êº,24000,37,3,4,4,7,8,18,22,23,25,31,31,32,34,-1500,-1,,,1,,,,,,2020,10,8,2
ãõíJ,ìå,1,1,1,ñk,24000,37,2,6,11,14,14,24,24,26,27,27,32,33,37,-1500,-1,,,1,,,,,,2020,10,8,2
ä€éR,ìå,1,2,2,ìå,28500,26,4,13,14,16,16,17,23,24,26,28,29,33,37,0,-1,,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìå,1,2,2,ìÏ,24500,26,1,3,6,21,22,22,23,24,33,35,36,36,37,-8600,-2,,1,,,,,,,2020,10,8,2
ìÒäKì∞,ìå,1,2,2,êº,22500,26,2,3,5,10,7,8,#N/A,15,16,17,22,30,29,-1000,-1,,,,1,2,,,,2020,10,8,2
ãõíJ,ìå,1,2,2,ñk,22500,26,2,3,4,11,19,19,25,26,26,27,31,35,35,10600,2,,1,,,,2,,4,2020,10,8,2
ä€éR,ìå,2,0,0,ñk,28500,27,4,5,9,11,12,13,13,14,20,16,21,23,28,0,-1,,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìå,2,0,0,ìå,15900,27,3,12,16,17,19,25,26,27,33,33,34,36,36,-8000,-2,,1,,,,1,,,2020,10,8,2
ìÒäKì∞,ìå,2,0,0,ìÏ,21500,27,1,2,5,7,7,8,9,9,22,29,31,37,37,8000,2,,1,,,,,1,4,2020,10,8,2
ãõíJ,ìå,2,0,0,êº,34100,27,4,5,6,15,16,17,19,22,24,28,32,33,36,0,-1,,,,,,,,,2020,10,8,2
ä€éR,ìå,3,0,0,êº,28500,2,1,7,7,9,9,11,14,16,22,23,24,28,28,8000,2,1,,,1,11,,,13,2020,10,8,2
ç≤ÅXñÿ,ìå,3,0,0,ñk,7900,2,2,5,5,6,12,15,17,18,23,24,25,27,29,-2000,-1,1,,,,,,,,2020,10,8,2
ìÒäKì∞,ìå,3,0,0,ìå,29500,2,3,5,8,14,15,26,26,27,33,33,33,37,37,-4000,-2,1,,,,,1,,,2020,10,8,2
ãõíJ,ìå,3,0,0,ìÏ,34100,2,2,2,2,7,11,13,22,28,31,31,34,35,36,-2000,-1,1,,,,,1,,,2020,10,8,2
ä€éR,ìå,4,0,0,ìÏ,36500,15,5,12,17,19,21,23,24,27,29,31,34,35,37,2600,1,,1,,1,8,,,8,2020,10,8,2
ç≤ÅXñÿ,ìå,4,0,0,êº,5900,15,2,2,4,6,6,17,21,22,22,25,28,32,36,0,-1,,,,,,,,,2020,10,8,2
ìÒäKì∞,ìå,4,0,0,ñk,25500,15,1,1,7,9,11,14,21,23,23,27,31,36,36,-2600,-1,,1,,,,,,,2020,10,8,2
ãõíJ,ìå,4,0,0,ìå,32100,15,2,4,5,7,7,11,13,16,23,24,27,33,37,0,-1,,,,,,,,,2020,10,8,2
ä€éR,ìÏ,1,0,0,ìå,39100,22,3,4,7,8,11,12,17,26,27,28,29,31,32,-1000,-1,,,1,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,1,0,0,ìÏ,5900,22,1,1,3,6,6,12,14,16,19,24,28,29,36,-1000,-1,,,1,,,,,,2020,10,8,2
ìÒäKì∞,ìÏ,1,0,0,êº,22900,22,2,2,2,6,7,7,9,9,13,16,22,33,34,2000,1,,,1,1,5,,,,2020,10,8,2
ãõíJ,ìÏ,1,0,0,ñk,32100,22,5,13,17,17,21,23,25,27,31,34,35,37,37,-1000,-1,,,1,,,,,,2020,10,8,2
ä€éR,ìÏ,2,1,1,ñk,38100,21,3,6,12,13,14,18,21,22,23,23,33,36,37,-4100,-2,1,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,2,1,1,ìå,4900,21,13,17,17,22,24,24,30,27,28,29,34,35,37,13300,2,1,,,1,12,,,13,2020,10,8,2
ìÒäKì∞,ìÏ,2,1,1,ìÏ,24900,21,1,2,7,11,15,18,25,26,31,33,35,35,36,-4100,-2,1,,,,,,,,2020,10,8,2
ãõíJ,ìÏ,2,1,1,êº,31100,21,2,2,4,8,23,26,29,22,25,26,27,28,35,-5100,-2,1,,,1,11,,,,2020,10,8,2
ä€éR,ìÏ,2,2,0,ñk,34000,12,1,2,5,12,13,16,18,25,26,27,28,36,37,-2800,-1,1,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,2,2,0,ìå,19200,12,6,9,13,17,18,23,24,25,25,26,32,34,36,8400,2,1,,,1,9,,,14,2020,10,8,2
ìÒäKì∞,ìÏ,2,2,0,ìÏ,20800,12,4,7,8,11,15,15,16,17,17,21,28,29,31,-2800,-1,1,,,,,,,,2020,10,8,2
ãõíJ,ìÏ,2,2,0,êº,26000,12,2,3,21,22,23,26,27,33,35,35,37,37,37,-2800,-1,1,,,,,1,,,2020,10,8,2
ä€éR,ìÏ,3,0,0,êº,27900,8,6,7,8,8,9,11,13,13,14,17,18,29,31,0,-1,,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,3,0,0,ñk,21300,8,3,6,7,12,13,13,17,18,19,21,23,32,33,4900,1,,1,,1,9,,,11,2020,10,8,2
ìÒäKì∞,ìÏ,3,0,0,ìå,31900,8,4,4,8,17,17,25,27,29,33,34,34,35,36,0,-1,,,,,,,,,2020,10,8,2
ãõíJ,ìÏ,3,0,0,ìÏ,19900,8,5,11,14,16,19,24,30,27,28,31,34,35,36,-4900,-2,,1,,1,9,,,,2020,10,8,2
ä€éR,ìÏ,4,0,0,ìÏ,27900,1,1,2,10,6,11,11,16,19,19,21,22,25,36,-12000,-2,,1,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,4,0,0,êº,26200,1,1,2,5,6,12,14,15,17,17,17,32,34,35,0,-1,,,,,,,,,2020,10,8,2
ìÒäKì∞,ìÏ,4,0,0,ñk,30900,1,3,3,4,7,20,16,19,19,25,27,29,29,34,0,-1,,,,,,,,,2020,10,8,2
ãõíJ,ìÏ,4,0,0,ìå,15000,1,3,3,4,7,9,12,14,24,25,28,28,28,32,12000,2,,1,,1,7,,,15,2020,10,8,2
ä€éR,ìÏ,4,1,0,ìÏ,15900,36,1,2,7,9,17,22,22,24,25,27,28,32,34,-1100,-1,1,,,,,,,,2020,10,8,2
ç≤ÅXñÿ,ìÏ,4,1,0,êº,26200,36,3,5,10,6,7,8,11,13,18,19,21,32,34,4300,1,1,,,1,6,,,8,2020,10,8,2
ìÒäKì∞,ìÏ,4,1,0,ñk,30900,36,2,7,12,14,15,16,17,17,21,25,28,33,37,-1100,-1,1,,,,,,,,2020,10,8,2
ãõíJ,ìÏ,4,1,0,ìå,27000,36,1,2,4,6,8,9,13,14,17,18,26,27,31,-2100,-1,1,,,,,,,,2020,10,8,2
ñx,ìå,1,0,0,ìå,25000,33,7,8,13,15,15,17,19,22,26,31,34,35,37,-5200,-2,,1,,,,,,7,2020,10,9,1
í©ëq,ìå,1,0,0,ìÏ,25000,33,7,8,9,11,12,13,17,18,27,31,32,32,35,5200,2,,1,,1,6,,,,2020,10,9,1
ì˙å¸,ìå,1,0,0,êº,25000,33,2,4,4,13,14,20,19,22,25,26,33,36,37,0,-1,,,,,,,,,2020,10,9,1
çïëÚ,ìå,1,0,0,ñk,25000,33,3,5,6,12,14,14,17,18,23,24,26,35,36,0,-1,,,,,,,,,2020,10,9,1
ñx,ìå,2,0,0,ñk,19800,32,2,4,5,7,14,16,18,21,25,27,28,34,35,0,-1,,,,,,,,,2020,10,9,1
í©ëq,ìå,2,0,0,ìå,30200,32,2,6,9,12,14,14,16,21,23,24,30,32,33,-1000,-1,,,,1,13,,,,2020,10,9,1
ì˙å¸,ìå,2,0,0,ìÏ,25000,32,3,3,4,9,13,16,17,18,22,32,33,35,37,-4200,-2,,1,,1,14,,,,2020,10,9,1
çïëÚ,ìå,2,0,0,êº,25000,32,1,5,6,11,12,19,19,19,21,22,24,25,29,5200,2,,1,,1,13,,,15,2020,10,9,1
ñx,ìå,3,0,0,êº,19800,21,1,1,1,4,4,7,9,12,17,18,27,31,36,-1000,-1,,,1,,,1,,,2020,10,9,1
í©ëq,ìå,3,0,0,ñk,29200,21,2,3,4,14,17,21,24,26,26,27,28,29,33,2000,1,,,1,1,7,,,,2020,10,9,1
ì˙å¸,ìå,3,0,0,ìå,20800,21,5,8,12,15,17,18,18,22,23,31,34,36,36,-1000,-1,,,1,,,,,,2020,10,9,1
çïëÚ,ìå,3,0,0,ìÏ,30200,21,2,7,8,9,11,14,16,16,22,25,29,32,34,-1000,-1,,,1,,,,,,2020,10,9,1
ñx,ìå,4,1,1,ìÏ,18800,27,4,8,13,14,14,14,15,17,17,18,21,29,35,-4100,-2,1,,,,,,,,2020,10,9,1
í©ëq,ìå,4,1,1,êº,31200,27,5,6,9,12,12,21,21,24,25,31,32,33,36,-4100,-2,1,,,,,1,,,2020,10,9,1
ì˙å¸,ìå,4,1,1,ñk,19800,27,1,2,4,5,7,15,16,24,26,27,28,35,37,-4100,-2,1,,,,,,,,2020,10,9,1
çïëÚ,ìå,4,1,1,ìå,29200,27,2,7,8,9,11,12,14,17,18,23,24,30,37,13300,2,1,,,1,8,,,11,2020,10,9,1
ñx,ìå,4,2,0,ìÏ,14700,26,1,6,6,7,9,11,14,19,19,24,30,27,31,-1200,-1,1,,,,,,,,2020,10,9,1
í©ëq,ìå,4,2,0,êº,27100,26,3,6,9,14,17,18,18,21,26,33,35,35,36,-1200,-1,1,,,,2,,,,2020,10,9,1
ì˙å¸,ìå,4,2,0,ñk,15700,26,1,2,11,13,20,19,21,23,25,26,27,29,31,4600,1,1,,,,1,,,11,2020,10,9,1
çïëÚ,ìå,4,2,0,ìå,42500,26,1,5,10,12,#N/A,16,22,24,27,29,31,31,33,-2200,-1,1,,,,1,,,,2020,10,9,1
ñx,ìÏ,1,0,0,ìå,13500,34,3,7,9,11,12,18,19,21,27,28,31,34,35,-1500,-1,,,1,,,,,,2020,10,9,1
í©ëq,ìÏ,1,0,0,ìÏ,25900,34,3,7,8,11,14,15,21,22,26,29,32,35,37,1500,1,,,1,,,1,,,2020,10,9,1
ì˙å¸,ìÏ,1,0,0,êº,20300,34,2,8,9,15,16,18,22,23,23,24,28,31,37,500,1,,,1,1,12,,,,2020,10,9,1
çïëÚ,ìÏ,1,0,0,ñk,40300,34,1,3,5,12,13,16,18,24,26,32,34,35,36,-1500,-1,,,1,,,,,,2020,10,9,1
ñx,ìÏ,2,1,1,ñk,12000,22,1,7,12,12,16,16,17,18,18,23,29,31,35,9300,2,1,,,1,11,,,14,2020,10,9,1
í©ëq,ìÏ,2,1,1,ìå,27400,22,2,3,4,4,7,13,15,17,19,19,31,34,37,-4100,-2,1,,,,,2,,,2020,10,9,1
ì˙å¸,ìÏ,2,1,1,ìÏ,20800,22,1,10,8,11,19,24,25,30,26,29,31,33,36,-2100,-1,1,,,,,,,,2020,10,9,1
çïëÚ,ìÏ,2,1,1,êº,38800,22,2,4,6,7,11,14,14,16,17,24,25,32,34,-2100,-1,1,,,1,12,,,,2020,10,9,1
ñx,ìÏ,3,0,0,êº,21300,34,3,4,5,6,7,8,13,14,16,19,28,32,36,-3000,-1,1,,,,,,,,2020,10,9,1
í©ëq,ìÏ,3,0,0,ñk,23300,34,4,6,6,7,7,12,15,22,25,28,33,35,35,-2000,-1,1,,,,,3,,17,2020,10,9,1
ì˙å¸,ìÏ,3,0,0,ìå,18700,34,2,3,5,8,9,13,20,17,18,23,30,26,32,7000,2,1,,,,,,,,2020,10,9,1
çïëÚ,ìÏ,3,0,0,ìÏ,36700,34,1,1,10,7,8,11,13,15,16,16,19,24,34,-2000,-1,1,,,,,,,,2020,10,9,1
ñx,ìÏ,3,1,0,êº,18300,16,8,9,11,14,14,16,18,19,21,22,25,28,35,-4100,-2,1,,,,,,,,2020,10,9,1
í©ëq,ìÏ,3,1,0,ñk,21300,16,3,4,4,6,13,13,15,16,18,18,22,33,37,-4100,-2,1,,,,,,,,2020,10,9,1
ì˙å¸,ìÏ,3,1,0,ìå,25700,16,1,2,3,3,6,7,20,17,27,28,29,33,34,12300,2,1,,,1,9,,,16,2020,10,9,1
çïëÚ,ìÏ,3,1,0,ìÏ,34700,16,11,12,22,23,23,24,28,32,32,34,35,35,36,-4100,-2,1,,,,,,,,2020,10,9,1
ñx,ìÏ,3,2,0,êº,14200,1,1,2,6,11,14,21,23,24,30,28,29,33,33,8600,2,1,,,1,6,,,10,2020,10,9,1
í©ëq,ìÏ,3,2,0,ñk,17200,1,6,8,9,15,15,16,16,18,18,22,27,27,29,-2200,-1,1,,,,,1,,,2020,10,9,1
ì˙å¸,ìÏ,3,2,0,ìå,38000,1,3,4,7,13,13,16,19,19,23,27,31,34,36,-4200,-2,1,,,,,,,,2020,10,9,1
çïëÚ,ìÏ,3,2,0,ìÏ,30600,1,2,4,7,7,11,13,16,17,22,24,32,35,36,-2200,-1,1,,,,,,,,2020,10,9,1
ñx,ìÏ,4,0,0,ìÏ,22800,16,6,8,8,11,17,29,32,33,34,34,34,35,37,-6000,-2,1,,,,,,,,2020,10,9,1
í©ëq,ìÏ,4,0,0,êº,15000,16,2,5,10,8,9,12,13,14,21,30,31,32,36,-6000,-2,1,,,,,,,,2020,10,9,1
ì˙å¸,ìÏ,4,0,0,ñk,33800,16,2,2,3,5,6,12,12,16,18,21,22,24,32,-6000,-2,1,,,,,,,,2020,10,9,1
çïëÚ,ìÏ,4,0,0,ìå,28400,16,2,3,5,11,13,14,16,21,25,26,26,27,35,18000,2,1,,,1,10,,,11,2020,10,9,1
ñx,ìÏ,4,1,0,ìÏ,16800,24,5,5,11,15,18,24,25,26,28,29,31,33,35,0,-1,,,,,,,,,2020,10,9,1
í©ëq,ìÏ,4,1,0,êº,9000,24,7,8,9,9,17,19,23,27,28,29,32,32,32,0,-1,,,,,,,,,2020,10,9,1
ì˙å¸,ìÏ,4,1,0,ñk,27800,24,1,1,3,7,8,14,14,18,19,23,24,25,26,-2300,-1,,1,,,,,,,2020,10,9,1
çïëÚ,ìÏ,4,1,0,ìå,46400,24,1,4,4,6,7,8,11,14,16,16,19,28,34,2300,1,,1,,,,,1,7,2020,10,9,1
ñx,ìÏ,4,2,0,ìÏ,16800,1,3,7,8,12,13,17,19,22,25,28,29,31,33,0,-1,,,,,,,,,2020,10,9,1
í©ëq,ìÏ,4,2,0,êº,9000,1,3,4,8,13,15,24,24,29,32,33,34,35,35,0,-1,,,,,,,,,2020,10,9,1
ì˙å¸,ìÏ,4,2,0,ñk,25500,1,3,6,7,8,11,14,19,25,26,26,28,36,37,1900,1,,1,,,,,1,11,2020,10,9,1
çïëÚ,ìÏ,4,2,0,ìå,48700,1,3,4,6,7,12,15,16,17,26,27,28,31,32,-1900,-1,,1,,,,,,,2020,10,9,1
îãå¥,ìå,1,0,0,ìå,25000,16,2,10,9,11,15,21,22,26,27,29,33,34,37,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìå,1,0,0,ìÏ,25000,16,1,5,6,12,14,14,16,18,25,27,32,33,34,-6400,-2,,1,,1,10,,,16,2020,10,9,2
è¨ó—,ìå,1,0,0,êº,25000,16,2,3,4,8,12,13,13,17,24,25,30,32,37,6400,2,,1,,,,,,,2020,10,9,2
ëÚçË,ìå,1,0,0,ñk,25000,16,1,3,8,9,16,25,26,26,28,31,33,34,36,0,-1,,,,,,,,,2020,10,9,2
îãå¥,ìå,2,0,0,ñk,25000,17,5,6,9,13,15,21,22,25,29,33,34,37,37,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìå,2,0,0,ìå,18600,17,6,15,17,18,19,22,23,26,29,31,32,33,35,12000,2,,1,,1,7,,,8,2020,10,9,2
è¨ó—,ìå,2,0,0,ìÏ,31400,17,4,7,8,12,17,17,18,18,19,24,26,28,34,-12000,-2,,1,,,,,,,2020,10,9,2
ëÚçË,ìå,2,0,0,êº,25000,17,1,2,6,8,8,12,13,14,19,23,25,31,34,0,-1,,,,,,,,,2020,10,9,2
îãå¥,ìå,2,1,0,ñk,25000,18,8,11,13,21,22,23,25,29,29,33,34,36,37,-3100,-1,1,,,,,1,,,2020,10,9,2
èºñ{,ìå,2,1,0,ìå,30600,18,12,14,14,14,16,17,18,23,25,27,32,33,34,-7100,-2,1,,,1,8,,,,2020,10,9,2
è¨ó—,ìå,2,1,0,ìÏ,19400,18,1,21,5,10,7,11,12,16,16,24,24,27,36,13300,2,1,,,,,1,,15,2020,10,9,2
ëÚçË,ìå,2,1,0,êº,25000,18,2,5,6,6,15,20,18,19,22,23,28,31,32,-3100,-1,1,,,,,,,,2020,10,9,2
îãå¥,ìå,3,0,0,êº,21900,2,5,6,7,9,9,13,22,23,23,25,34,34,37,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìå,3,0,0,ñk,23500,2,13,14,20,18,22,24,26,27,32,32,33,35,35,-3200,-1,,1,,,,1,,,2020,10,9,2
è¨ó—,ìå,3,0,0,ìå,32700,2,2,4,10,8,14,15,17,22,27,32,34,36,37,0,-1,,,,,,,,,2020,10,9,2
ëÚçË,ìå,3,0,0,ìÏ,21900,2,1,5,11,11,12,16,16,17,19,19,28,36,36,3200,1,,1,,1,7,,,8,2020,10,9,2
îãå¥,ìå,4,0,0,ìÏ,21900,24,1,2,3,5,8,11,18,21,23,27,28,32,36,-6400,-2,1,,,,,,,,2020,10,9,2
èºñ{,ìå,4,0,0,êº,20300,24,3,3,5,8,13,15,16,17,21,22,23,29,37,0,-1,,,,,,,,,2020,10,9,2
è¨ó—,ìå,4,0,0,ñk,32700,24,4,4,7,8,9,12,14,16,26,26,31,35,35,6400,2,1,,,,,,1,12,2020,10,9,2
ëÚçË,ìå,4,0,0,ìå,25100,24,9,13,17,17,18,23,24,30,29,31,32,35,36,0,-1,,,,,,,,,2020,10,9,2
îãå¥,ìÏ,1,0,0,ìå,15500,19,2,9,11,11,11,13,14,20,19,22,22,27,36,-9000,-2,,1,,1,11,,,,2020,10,9,2
èºñ{,ìÏ,1,0,0,ìÏ,20300,19,2,3,16,17,19,23,24,29,31,33,34,35,37,0,-1,,,,,,,,,2020,10,9,2
è¨ó—,ìÏ,1,0,0,êº,39100,19,1,1,1,1,4,9,12,16,19,21,21,33,37,0,-1,,,,,,,,,2020,10,9,2
ëÚçË,ìÏ,1,0,0,ñk,25100,19,3,10,8,11,14,18,23,26,28,28,32,36,36,9000,2,,1,,1,14,,,16,2020,10,9,2
îãå¥,ìÏ,2,0,0,ñk,6500,31,1,4,5,11,11,12,13,14,15,22,23,27,27,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìÏ,2,0,0,ìå,20300,31,3,3,5,7,7,9,13,15,19,24,25,26,36,3900,1,,1,,1,10,,,11,2020,10,9,2
è¨ó—,ìÏ,2,0,0,ìÏ,39100,31,2,2,3,4,4,6,8,8,16,22,25,27,31,0,-1,,,,,,,,,2020,10,9,2
ëÚçË,ìÏ,2,0,0,êº,34100,31,2,6,11,12,18,19,23,25,28,31,32,32,34,-3900,-1,,1,,,,,,,2020,10,9,2
îãå¥,ìÏ,2,1,0,ñk,6500,28,3,5,15,16,17,18,18,19,25,26,33,35,36,-8300,-2,,1,,,,,,,2020,10,9,2
èºñ{,ìÏ,2,1,0,ìå,24200,28,2,3,5,7,8,9,11,17,22,24,27,28,28,0,-1,,,,,,,,,2020,10,9,2
è¨ó—,ìÏ,2,1,0,ìÏ,39100,28,3,3,4,8,14,17,19,21,24,24,29,33,36,0,-1,,,,,,,,,2020,10,9,2
ëÚçË,ìÏ,2,1,0,êº,30200,28,1,2,12,13,14,15,15,20,17,19,22,23,31,8300,2,,1,,,,,1,9,2020,10,9,2
îãå¥,ìÏ,3,0,0,êº,-1800,31,2,2,3,5,18,18,21,22,23,24,27,28,33,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìÏ,3,0,0,ñk,24200,31,2,3,4,5,7,9,11,11,16,26,26,32,34,-12000,-2,,1,,,,,,,2020,10,9,2
è¨ó—,ìÏ,3,0,0,ìå,39100,31,1,3,4,4,10,6,7,9,13,15,17,19,29,12000,2,,1,,1,7,,,7,2020,10,9,2
ëÚçË,ìÏ,3,0,0,ìÏ,38500,31,1,6,13,13,14,14,20,17,19,19,32,35,37,0,-1,,,,,,,,,2020,10,9,2
îãå¥,ìÏ,3,1,0,êº,-1800,31,3,12,13,15,16,19,22,23,26,29,32,34,34,-9300,-2,,1,,1,11,,,,2020,10,9,2
èºñ{,ìÏ,3,1,0,ñk,12200,31,2,3,5,6,18,21,22,23,28,31,31,35,37,0,-1,,,,,,,,,2020,10,9,2
è¨ó—,ìÏ,3,1,0,ìå,51100,31,1,2,7,9,11,11,13,18,19,21,22,29,33,0,-1,,,,,,,,,2020,10,9,2
ëÚçË,ìÏ,3,1,0,ìÏ,38500,31,1,4,5,7,13,14,15,16,18,21,25,25,31,9300,2,,1,,1,10,,,12,2020,10,9,2
îãå¥,ìÏ,4,1,0,ìÏ,-12100,7,6,13,14,20,18,21,21,23,24,29,31,35,37,-1000,-1,,,1,,,,,,2020,10,9,2
èºñ{,ìÏ,4,1,0,êº,11200,7,1,3,3,6,8,11,15,18,19,26,27,33,34,-1000,-1,,,1,,,,,,2020,10,9,2
è¨ó—,ìÏ,4,1,0,ñk,50100,7,7,11,11,12,16,18,19,22,24,31,33,36,37,-1000,-1,,,1,,,,,,2020,10,9,2
ëÚçË,ìÏ,4,1,0,ìå,49800,7,12,15,22,22,23,23,25,28,32,33,35,36,36,3000,1,,,1,,,1,,,2020,10,9,2
îãå¥,ìÏ,4,2,0,ìÏ,-13100,13,4,7,8,9,11,11,27,28,31,32,34,36,37,0,-1,,,,,,,,,2020,10,9,2
èºñ{,ìÏ,4,2,0,êº,10200,13,3,7,13,14,17,17,18,21,23,24,29,29,32,0,-1,,,,,,,,,2020,10,9,2
è¨ó—,ìÏ,4,2,0,ñk,49100,13,1,10,7,9,15,19,22,30,26,33,33,35,35,-12300,-2,,1,,,,1,,,2020,10,9,2
ëÚçË,ìÏ,4,2,0,ìå,52800,13,2,6,8,12,12,19,19,21,22,23,27,31,36,12300,2,,1,,1,8,,,16,2020,10,9,2
îãå¥,ìÏ,4,3,0,ìÏ,-13100,26,10,9,14,16,17,19,21,23,23,26,32,35,37,0,-1,,,,,,1,,,2020,10,9,2
èºñ{,ìÏ,4,3,0,êº,10200,26,1,1,2,6,11,13,16,26,27,32,32,36,37,-1900,-1,,1,,,,1,,,2020,10,9,2
è¨ó—,ìÏ,4,3,0,ñk,36500,26,2,4,7,9,11,14,14,22,23,24,32,34,35,1900,1,,1,,,,1,,11,2020,10,9,2
ëÚçË,ìÏ,4,3,0,ìå,66400,26,2,3,5,5,12,14,17,21,21,22,25,26,29,0,-1,,,,,,,,,2020,10,9,2
ë∫è„,ìå,1,0,0,ìå,25000,21,3,9,11,#N/A,15,17,17,18,19,24,25,27,27,1500,1,,,1,,,,,,2020,10,12,1
ì°çË,ìå,1,0,0,ìÏ,25000,21,2,2,9,12,12,17,22,22,26,27,28,33,35,-1500,-1,,,1,,,,,,2020,10,12,1
îííπ,ìå,1,0,0,êº,25000,21,2,4,6,7,7,13,18,19,21,22,23,29,37,500,1,,,1,1,9,,,,2020,10,12,1
äùêX,ìå,1,0,0,ñk,25000,21,4,5,8,14,16,23,26,28,29,31,34,35,36,-1500,-1,,,1,,,,,,2020,10,12,1
ë∫è„,ìå,1,1,1,ìå,26500,27,1,5,7,8,15,16,18,19,21,31,34,36,37,-3000,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìå,1,1,1,ìÏ,23500,27,2,3,4,8,13,21,22,23,30,29,34,36,37,1000,1,,,1,,,,,,2020,10,12,1
îííπ,ìå,1,1,1,êº,25500,27,3,7,11,17,19,23,24,28,32,33,33,35,35,1000,1,,,1,,,1,,,2020,10,12,1
äùêX,ìå,1,1,1,ñk,23500,27,1,2,6,9,14,14,15,22,23,25,28,31,31,0,-1,,,1,1,13,,,,2020,10,12,1
ë∫è„,ìå,2,3,3,ñk,25500,27,1,3,3,4,10,6,7,11,15,19,28,34,36,-2300,-1,1,,,,,,,,2020,10,12,1
